Class ID,Preferred Label,Synonyms,Definitions,Parents
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#SpectralRadiance,SpectralRadiance,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Radiance
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#Standard,Standard,,"A standard defines a reference for comparing or naming entities via a measurement. A standard can be defined intentionally (e.g., as in the case of units) or extensionally (by listing the values of the standard, e.g., for color this might be red, blue, yellow, etc).",http://www.w3.org/2002/07/owl#Thing
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#NumberPerMeterSquared,NumberPerMeterSquared,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#CompositeUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#BushelToLiter,BushelToLiter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#AngstromToMeter,AngstromToMeter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#HectogramToKilogram,HectogramToKilogram,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#NominalWeek,NominalWeek,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Pint,Pint,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Pound,Pound,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#DecigramToKilogram,DecigramToKilogram,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#VolumetricRate,VolumetricRate,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Angstrom,Angstrom,,The angstrom is a unit of length equal to 0.1 nanometre.,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#NominalMinute,NominalMinute,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Radiance,Radiance,,"Radiance and spectral radiance are radiometric measures that describe the amount of light that passes through or is emitted from a particular area, and falls within a given solid angle in a specified direction. They are used to characterize both emission from diffuse sources and reflection from diffuse surfaces. The SI unit of radiance is watts per steradian per square metre (W·sr−1·m−2).",http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Conductivity,Conductivity,,is a measure of a material's ability to conduct an electric current. Units are siemens per meter,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#PracticalSalinityUnit,Practical Salinity Unit,,"At the simplest level, salinity is the total amount of dissolved material in grams in one kilogram of sea water. So it is typically thought of as a dimensionless quantity with no units.  It is described here as an Index. For more information, see current physical oceanographic references, such as http://oceanworld.tamu.edu/resources/ocng_textbook/chapter06/chapter06_01.htm",http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#Index
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Volume,Volume,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Dekameter,Dekameter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#MinuteToSecond,MinuteToSecond,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Identifier,Identifier,,provides an identifying sequence of characters to refer to an entity within a context. An Identifier can be unique within a local context or a global context.,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#IdentifyingCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Decibar,Decibar,,A decibar is a unit pressure commonly used in oceanography because it's value is generally equivalent to depth in meters.  1 dbar = 0.1 bar = 10 kPa,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Fathom,Fathom,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#Protocol,Protocol,,A protocol is a procedure for generating or processing data.,http://www.w3.org/2002/07/owl#Thing
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#FahrenheitDegree,FahrenheitDegree,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#MilligramPerMeterCubedPerDay,MilligramPerMeterCubedPerDay,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#CompositeUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#CentimeterCubed,CentimeterCubed,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Area,Area,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#FootSquared,FootSquared,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Megahertz,Megahertz,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Kelvin,Kelvin,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#MileToMeter,MileToMeter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#YardIndian,YardIndian,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#QuartToLiter,QuartToLiter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Second,Second,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#CentimeterSquared,CentimeterSquared,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Gram,Gram,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#CompositeCharacteristicQualifier,Composite Characteristic Qualifier,,"A composite qualifier combines multiple qualifiers. Each composite qualifier has a base qualifier and a reference to another qualifier. Composite qualifiers are ordered (through hasNextQualifier) to distinguish between the scope of qualifiers, e.g., AverageMinimum versus MinimumAverage.",http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#CharacteristicQualifier
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#AmountOfSubstanceMass,AmountOfSubstanceMass,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#ArealMassDensity,ArealMassDensity,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Microsecond,Microsecond,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#AmountOfSubstanceWeightFlux,AmountOfSubstanceWeightFlux,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Resistance,Resistance,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#MilligramPerMeterCubed,MilligramPerMeterCubed,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#CompositeUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#KilosecondToSecond,KilosecondToSecond,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#VolumetricDensity,VolumetricDensity,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#CatalyticActivity,CatalyticActivity,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#Characteristic,Characteristic,,"A characteristic represents a property of an entity that can be measured (e.g., height, length, or color).  A characteristic of an entity is observed through a measurement, which further asserts a value of the characteristic for the entity. A characteristic type (e.g., ""height"") can be associated with many different entities, whereas an individual characteristic (a particular occurrence of the ""height"" characteristic) is associated to exactly one entity.",http://www.w3.org/2002/07/owl#Thing
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#MolePerLiter,MolePerLiter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#CompositeUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Megasecond,Megasecond,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#MeterSquared,MeterSquared,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#NominalLeapYearToSecond,NominalLeapYearToSecond,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Mole,Mole,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Charge,Charge,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit,Derived Unit,,"A derived unit raises a base or prefixed unit to an integer power other than 0 or 1. For example, the unit 'square meter' is a unit derived from the 'meter' base unit raised to the power 2. As another example, a 'square centimeter' is a unit derived from the 'centimeter' prefixed unit raised to the power 2.

BRL 20160601: I removed this restriction so that CompositeUnits like XXXPerLiter would not reason to owl:Nothing. hasUnit exactly 1 (BaseUnit or PrefixedUnit)",http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#Unit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#SpecificVolume,SpecificVolume,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Candela,Candela,,"The candela is the SI base unit of luminous intensity, i.e., the power emitted by a light source in a particular direction, weighted by the luminosity function (a standardized model of the sensitivity of the human eye to different wavelengths).",http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#NauticalMile,NauticalMile,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#HectometerToMeter,HectometerToMeter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#CelsiusToKelvin,CelsiusToKelvin,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#MilliliterPerLIter,MilliliterPerLIter,,A unit of concentration used for liquid-liquid solutions or for mixtures of gasses and of gasses and liquids.,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#CompositeUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#MagneticFlux,MagneticFlux,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#SpecificEnergy,SpecificEnergy,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Number,Number,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#CategoricalStandard,CategoricalStandard,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#Standard
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#DecimeterToMeter,DecimeterToMeter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#MicrometerSquared,MicrometerSquared,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Degree,Degree,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Milligram,Milligram,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#PhotonFluxDensity,PhotonFluxDensity,,The number of photons striking an area per unit time.  This could be probably also be called a PhotonArealDensityRate.,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#MassDensity,MassDensity,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic,Measured Characteristic,,"A measured characteristic of an entity is one that is measurable within the physical world. A measured characteristic includes primary and derived physical dimensions (e.g., length, mass, area, density). The measured value assigned to a measured characteristic may be a quantity (a numerical value) or a quality (a category), including both nominal and ordinal categories.",http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#Characteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#Index,Index,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#Standard
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Luminance,Luminance,,"Luminance is a photometric measure of the luminous intensity per unit area of light  travelling in a given direction. It describes the amount of light that passes through or is emitted from a particular area, and falls within a given solid angle. The SI unit for luminance is candela per square metre (cd/m2).",http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Becquerel,Becquerel,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Radian,Radian,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Foot,Foot,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#InchCubed,InchCubed,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseCharacteristicQualifier,Base Characteristic Qualifier,,"A base qualifier denotes a simple, atomic qualifier such as average, minimum, and maximum.",http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#CharacteristicQualifier
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#NominalLeapYear,NominalLeapYear,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Illuminance,Illuminance,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#SpecificArea,SpecificArea,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#NominalDayToSecond,NominalDayToSecond,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#NominalDay,NominalDay,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#CentimeterToMeter,CentimeterToMeter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Milliliter,Milliliter,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Luminosity,Luminosity,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#MicrogramToKilogram,MicrogramToKilogram,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#VolumetricMassDensityRate,VolumetricMassDensityRate,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#TonneToKilogram,TonneToKilogram,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#YardSquared,YardSquared,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Newton,Newton,,"The newton is the unit of force derived in the SI system; it is equal to the amount of net force required to accelerate a mass of one kilogram at a rate of one meter per second per second. 
1 N = kg  m  s-2",http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#CompositeUnit
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Force,Force,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#AmountOfSubstanceConcentration,AmountOfSubstanceConcentration,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Micron,Micron,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit
